Feature,KS Statistic,KS p-value,Jensen-Shannon Distance,Wasserstein Distance
node0_antarex.nr_anon_pages,0.10704855481958608,2.4707524790290872e-86,0.09135518912870215,0.1457805453323469
node0_antarex.per_core_PERF_COUNT_HW_BRANCH_INSTRUCTIONS0,0.10874350381208575,4.406221739289591e-89,0.08166112332841653,0.10296281758921408
node0_antarex.per_core_cpu_freq0,0.09985716637055037,3.7199065858386754e-75,0.0989440801556208,0.15539081224210835
node0_antarex.nr_kernel_stack,0.13094319348096234,4.0255030817156456e-129,0.126050766078018,0.17053946951265025
node0_antarex.procs_running,0.07621648555956784,6.330728066816551e-44,0.09196091286577981,0.19390675214466083
node0_antarex.KernelStack,0.13097498137758445,3.4841371928199777e-129,0.12798067220249856,0.17077187238288216
node0_antarex.per_core_PERF_COUNT_HW_CPU_CYCLES0,0.12453396110189588,8.633058908016269e-117,0.10637494953384509,0.14670087224260273
node0_antarex.context_switches,0.2362348274115088,0.0,0.08462253575301826,0.1424805321791338
node0_antarex.per_core_PERF_COUNT_HW_INSTRUCTIONS0,0.12435929383995259,1.8341723784928e-116,0.10193874226313865,0.13992847316234067
node0_antarex.nr_slab_unreclaimable,0.026208586028002467,1.4395727432306987e-05,0.051733144683113026,0.04859833384419892
node0_antarex.numa_pte_updates,0.07703866009831872,7.192682674894085e-45,0.0889683983391874,0.13524703275668282
node0_antarex.per_core_PERF_COUNT_HW_BRANCH_MISSES0,0.12656441559012427,1.251710431576267e-120,0.05534195672927743,0.12176842630163015
node0_antarex.nr_anon_transparent_hugepages,0.0677299087438521,9.047223328532652e-35,0.03748431508106709,0.027459986583584405
node0_antarex.per_core_PERF_COUNT_HW_CACHE_MISSES0,0.10849609096594792,1.1169263686681155e-88,0.055766185674133245,0.03552276257356402
node0_antarex.nr_page_table_pages,0.08035830619307238,8.699052095486817e-49,0.05236609182847594,0.045873206590570426
node0_antarex.Committed_AS,0.08455226048481329,5.658465588475927e-54,0.06317539032396274,0.03485032630951005
node0_antarex.PageTables,0.081428755104406,4.373601190072188e-50,0.053261663627019194,0.044662987329189184
node0_antarex.nr_dirty_background_threshold,0.08413884380624725,1.8870051919355965e-53,0.04631109190208071,0.05095374692216232
node0_antarex.numa_hint_faults_local,0.07703866009831872,7.192682674894085e-45,0.07984626756830546,0.09702879664287857
node0_antarex.nr_active_anon,0.08633153080222075,2.9650716046081224e-56,0.05088188968098792,0.03909491789730256
node0_antarex.per_core_PERF_COUNT_HW_CACHE_REFERENCES0,0.10881513845855778,3.3645949854052574e-89,0.06320722433524839,0.03959125731985486
node0_antarex.numa_local,0.07706045751314528,6.787504650589049e-45,0.0712573249807181,0.050819079009745825
node0_antarex.nr_free_pages,0.08253916217348167,1.8856778577967918e-51,0.06605709033727018,0.05185448515792227
node0_antarex.softirq_count,0.13883896670523543,3.541388870888459e-145,0.11338375281051329,0.20926397178066164
node0_antarex.numa_miss,0.019362339019721175,0.0031106759714617303,0.05013211280570162,0.04372364996438304
