Feature,KS Statistic,KS p-value,Jensen-Shannon Distance,Wasserstein Distance
node0_node0.Active,0.28706529968485517,3.7366447523395373e-32,0.23783561347386362,0.48745789097451614
node0_node0.MemFree,0.28567502491467067,7.667098798827006e-32,0.23816684282087996,0.487343956429134
node0_node0.MemAvailable,0.28567502491467067,7.667098798827006e-32,0.23814369444005476,0.4873449188904201
node0_node0.Active-anon,0.28706529968485517,3.7366447523395373e-32,0.23789849332398996,0.4874601225355338
node0_node0.branch-misses,0.28364309898026085,2.1772409696083224e-31,0.2149375911564197,0.2805602199785611
node0_node0.AnonPages,0.2871775565285134,3.5253817065041205e-32,0.23776458031660214,0.4874717592631468
node0_node0.instructions,0.277649009216841,4.516120093129529e-30,0.25226288966650934,0.47511377472624705
node0_node0.cache-misses,0.2940752790210088,9.410437375037452e-34,0.30095202445051145,0.5480215515203496
node0_node0.socket0.temp,0.2684629572048949,4.114936289386117e-28,0.23581025052219687,0.5644493935163744
node0_node0.PageTables,0.2849125297536599,1.1353635025827437e-31,0.28656993844025236,0.4863864464272228
node0_node0.cache-references,0.28043704499326955,1.1117749462737723e-30,0.3128954663232562,0.5931871015675277
node0_node0.socket1.temp,0.10696242338855733,8.877197695807144e-05,0.1697577361741629,0.3886904330663734
node0_node0.col-idle,0.2883285653226757,1.938340832310573e-32,0.30720301228358743,0.5598733237223603
node0_node0.col-user,0.28753656558425356,2.9261751187082463e-32,0.29902347767774357,0.5566762011486592
node0_node0.branch-instructions,0.27718563322309364,5.69255621978604e-30,0.25705162337432713,0.3764208199417096
node0_node0.col-system,0.24296825002883485,4.851955613425528e-23,0.11658063553986676,0.24001282047871247
node0_node0.intr,0.30078885478533235,2.5299103317306766e-35,0.24367455124185106,0.5284947094956387
node0_node0.procs-running,0.2706191399789996,1.4478955349322846e-28,0.2660428493735432,0.5376625227381526
node0_node0.Cached,0.24732212015049243,7.206745603174661e-24,0.2574289870504311,0.49503687579793265
node0_node0.softirq,0.2849448233209758,1.1166668717078278e-31,0.2531153493603714,0.5442134836793908
node0_node0.pgfree,0.029917017642085986,0.8207351763648114,0.06139190310975423,0.050016557980731916
node0_node0.Inactive-anon,0.2797893754824081,1.5417504311900914e-30,0.27820823550841417,0.5873421364611822
node0_node0.socket1.rapl-energy,0.031292136453973274,0.7768559711270803,0.11525482736310508,0.03771255423425706
node0_node0.thp_fault_alloc,0.027022890157577528,0.9005412763724101,0.08847241041484223,0.08168408208721889
node0_node0.pgfault,0.04934082774064408,0.23350168160614748,0.0649142745850655,0.07593686082988486
node0_node0.Inactive,0.2797893754824081,1.5417504311900914e-30,0.27823636223096837,0.5875252808012494
node0_node0.KernelStack,0.26595866445401906,1.3688656930029787e-27,0.2922623457707868,0.5322984260292254
node0_node0.cpu-cycles,0.21531005732878838,3.86130088585014e-18,0.1922679704761285,0.3387712522438913
node0_node0.ctxt,0.11572095260592391,1.6097742315680694e-05,0.06896122564874668,0.09846631996145946
node0_node0.ref-cycles,0.2122729207172005,1.2225088456464304e-17,0.19526571111889843,0.3260132680910187
node0_node0.socket0.rapl-energy,0.03340325502277819,0.7050842033529863,0.12899681125310036,0.03921693339671592
node0_node0.numa_local,0.051511652711747735,0.19292100254570854,0.1402573751065834,0.08495159312950191
node0_node0.numa_hit,0.051511652711747735,0.19292100254570854,0.14080918255609132,0.08494183970767569
node0_node0.thp_split,0.0031827512423940885,1.0,0.037197600507490054,0.03138976939357775
node0_node0.processes,0.011436509984272036,0.9999999865554883,0.09012668234356833,0.061224872904330395
node0_node0.numa_interleave,0.04463969167863391,0.34258259036679595,0.10570637483991142,0.08066084288583614
node0_node0.col-iowait,0.002490604682002129,1.0,0.026847138806036952,0.03723314905722094
node0_node0.Active-file,0.020319149252391075,0.9924197969419708,0.06826569245887847,0.08825418223894044
node0_node0.Inactive-file,0.017263407142360965,0.9992737783716069,0.06946805592425992,0.04442829302820117
node0_node0.opaif1.portXmitPkts,0.026251624357261694,0.9180966771130838,0.0544122742454387,0.05774564979589184
node0_node0.opaif1.portMulticastXmitPkts,0.026230670235741882,0.9185488937032891,0.05398561641591626,0.05722864641046173
node0_node0.opaif1.portXmitData,0.028395623649151824,0.8651883726409424,0.05104689801641889,0.05724013156577577
node0_node0.opaif1.portRcvPkts,0.01805793899003849,0.9984948665765206,0.05856967905768158,0.06982550602660823
node0_node0.opaif1.portRcvData,0.01591393969814836,0.9998383091889025,0.054852827821914835,0.07654302207853347
node0_node0.thp_fault_fallback,0.00024055037926773437,1.0,0.008441177397412087,0.01069356270038327
node0_node0.thp_collapse_alloc,0.0018874122206712363,1.0,0.024135054157529735,0.08082161925430842
node0_node0.socket0.rapl-power,0.1723952091171787,9.501404258923024e-12,0.009717770720896574,0.01651357353469882
node0_node0.thp_zero_page_alloc,1.6036691951160087e-05,1.0,0.0023288007231523794,0.004004615977937072
node0_node0.socket1.rapl-power,0.27856970616046406,2.847477854255394e-30,0.01201984147347355,0.020423709739381242
