Feature,KS Statistic,KS p-value,Jensen-Shannon Distance,Wasserstein Distance
node0_antarex.nr_anon_pages,0.9166721160203734,0.0,0.7135674834634573,0.3987275211398183
node0_antarex.per_core_PERF_COUNT_HW_BRANCH_INSTRUCTIONS0,0.17997148217546288,7.960557589774151e-289,0.41946748597967265,0.47400399941992016
node0_antarex.nr_kernel_stack,0.6842081362483743,0.0,0.6083544242921032,0.7797430414441318
node0_antarex.per_core_cpu_freq0,0.6351984654619962,0.0,0.6036306298383471,0.931320280963456
node0_antarex.procs_running,0.4732510747643051,0.0,0.5895058262779351,1.3997540441402196
node0_antarex.KernelStack,0.6842580886573519,0.0,0.602428947601911,0.7797053336748926
node0_antarex.per_core_PERF_COUNT_HW_CPU_CYCLES0,0.5451473988096404,0.0,0.7399364402519918,0.887231400294681
node0_antarex.numa_pte_updates,0.12999026290165527,2.3045989203345295e-150,0.3589917522876982,0.22848362880164075
node0_antarex.per_core_PERF_COUNT_HW_INSTRUCTIONS0,0.5401526545618356,0.0,0.5425566554005812,0.8592991671618179
node0_antarex.context_switches,0.9286052924123199,0.0,0.7481002579646119,0.33687796464811065
node0_antarex.nr_slab_unreclaimable,0.748441484839898,0.0,0.5031045576606137,0.8466248993296429
node0_antarex.Committed_AS,0.8191522985373935,0.0,0.7095846455230028,0.7265205989128356
node0_antarex.per_core_PERF_COUNT_HW_BRANCH_MISSES0,0.6525710050787976,0.0,0.7672003741060259,0.5453913440010135
node0_antarex.nr_page_table_pages,0.6904067760896891,0.0,0.696444433213068,0.5827932200080778
node0_antarex.per_core_PERF_COUNT_HW_CACHE_MISSES0,0.795710995342619,0.0,0.661513636205502,0.7284298955226237
node0_antarex.per_core_PERF_COUNT_HW_CACHE_REFERENCES0,0.7239902347581577,0.0,0.6565725238966508,0.7138167510088391
node0_antarex.nr_dirty_threshold,0.5020662132804383,0.0,0.7009594405687007,0.5817764824553927
node0_antarex.PageTables,0.6904285735045157,0.0,0.6964369869333316,0.5828048948714107
node0_antarex.nr_active_anon,0.6785295555930189,0.0,0.6386867134579579,0.492784929718492
node0_antarex.numa_hint_faults,0.6510170310467845,0.0,0.4778254035499405,0.8288088813096984
node0_antarex.nr_anon_transparent_hugepages,0.7016188213411223,0.0,0.7154363280627487,0.6230669442978545
node0_antarex.nr_dirty_background_threshold,0.5020662132804383,0.0,0.7009592849286761,0.5817764870161709
node0_antarex.numa_hint_faults_local,0.6510297462054334,0.0,0.47920752160547114,0.8288320529224746
node0_antarex.nr_active_file,0.7498356111631828,0.0,0.717255463332852,0.7751013889396072
node0_antarex.nr_inactive_file,0.42763502693728206,0.0,0.6714559957315615,0.5900613534570571
node0_antarex.softirq_count,0.670848137410903,0.0,0.7506684842826971,0.6881744965211051
node0_antarex.AnonHugePages,0.5201414528059757,0.0,0.4031339885536303,0.46031727917013054
node0_antarex.nr_free_pages,0.7373311608576556,0.0,0.5721213883088943,0.8446841927373174
node0_antarex.Dirty,0.9023702872172694,0.0,0.7102243558699287,0.4234895493694613
node0_antarex.Active,0.7306820411099244,0.0,0.6336019436369311,0.7740298760745173
node0_antarex.numa_local,0.461304498020712,0.0,0.6179943380174937,0.5825863346279279
node0_antarex.AnonPages,0.6978360616430891,0.0,0.7145520870900598,0.6211689541427585
node0_antarex.per_core_PERF_COUNT_HW_BUS_CYCLES0,0.6391610538323489,0.0,0.7100390055328446,0.9540656729153284
node0_antarex.per_core_PERF_COUNT_HW_REF_CPU_CYCLES0,0.6492559815739187,0.0,0.6836068515635224,0.941594007230971
node0_antarex.Slab,0.7498356111631828,0.0,0.6695798091887566,0.848134159335447
node0_antarex.SReclaimable,0.7498356111631828,0.0,0.6694240227055697,0.8478527283511896
node0_antarex.Inactivefile,0.7498356111631828,0.0,0.6581613432918823,0.7142710372328879
node0_antarex.numa_other,0.4554831282031049,0.0,0.6028285540574395,0.859009588847681
node0_antarex.numa_foreign,0.7734176893287122,0.0,0.589157944707714,0.740438332901888
node0_antarex.numa_miss,0.7734176893287122,0.0,0.589157944707714,0.740438332901888
node0_antarex.thp_fault_alloc,0.9197855134381062,0.0,0.8024081933233411,0.0039284547902950565
node0_antarex.numa_hit,0.48751818175714573,0.0,0.5804619601776925,0.5517030407165593
node0_antarex.Cached,0.7498356111631828,0.0,0.67000713787509,0.8447155348155473
node0_antarex.nr_dirty,0.9024211478518648,0.0,0.7102466750282688,0.423517576118037
node0_antarex.Activeanon,0.6992329126432272,0.0,0.7137541213678006,0.6011561808462667
node0_antarex.nr_dirtied,0.7779515516126454,0.0,0.5808743643430329,0.7410612854717303
node0_antarex.user,0.6392645915527752,0.0,0.7613085616688063,0.8013718828554035
node0_antarex.per_core_user0,0.6392991041262506,0.0,0.7086572495315213,0.9540521517914011
node0_antarex.numa_huge_pte_updates,0.5010408265579702,0.0,0.34033214756461266,0.8665223777698327
node0_antarex.allocated,0.7400576541622164,0.0,0.7815885251057891,0.8772053868465097
